ClientKey,ClientName,Industry,ClientTier,CountryKey,ClientCountry,RegionKey,ClientRegion,RegionCode
1,Client 0001,Logistics,Tier 2,5,Argentina,2,Latin America,LATAM
2,Client 0002,Retail,Tier 3,12,Italy,3,"Europe, Middle East & Africa",EMEA
3,Client 0003,Retail,Tier 2,12,Italy,3,"Europe, Middle East & Africa",EMEA
4,Client 0004,Manufacturing,Tier 2,19,Malaysia,4,Asia Pacific,APAC
5,Client 0005,Logistics,Tier 3,6,Chile,2,Latin America,LATAM
6,Client 0006,Retail,Tier 3,2,Canada,1,North America,NA
7,Client 0007,Energy,Tier 1,12,Italy,3,"Europe, Middle East & Africa",EMEA
8,Client 0008,Public Sector,Tier 3,19,Malaysia,4,Asia Pacific,APAC
9,Client 0009,Retail,Tier 2,5,Argentina,2,Latin America,LATAM
10,Client 0010,Energy,Tier 2,12,Italy,3,"Europe, Middle East & Africa",EMEA
11,Client 0011,Healthcare,Tier 2,27,Nigeria,6,Middle East & Africa,MEA
12,Client 0012,Energy,Tier 3,27,Nigeria,6,Middle East & Africa,MEA
13,Client 0013,Energy,Tier 2,17,Singapore,4,Asia Pacific,APAC
14,Client 0014,Telecom,Tier 2,17,Singapore,4,Asia Pacific,APAC
15,Client 0015,Banking,Tier 2,10,France,3,"Europe, Middle East & Africa",EMEA
16,Client 0016,Public Sector,Tier 1,25,Qatar,6,Middle East & Africa,MEA
17,Client 0017,Healthcare,Tier 1,23,Saudi Arabia,6,Middle East & Africa,MEA
18,Client 0018,Retail,Tier 1,17,Singapore,4,Asia Pacific,APAC
19,Client 0019,Banking,Tier 1,15,China,4,Asia Pacific,APAC
20,Client 0020,Telecom,Tier 1,12,Italy,3,"Europe, Middle East & Africa",EMEA
21,Client 0021,Energy,Tier 1,16,Japan,4,Asia Pacific,APAC
22,Client 0022,Banking,Tier 2,24,UAE,6,Middle East & Africa,MEA
23,Client 0023,Manufacturing,Tier 1,19,Malaysia,4,Asia Pacific,APAC
24,Client 0024,Retail,Tier 2,8,United Kingdom,3,"Europe, Middle East & Africa",EMEA
25,Client 0025,Energy,Tier 3,21,New Zealand,5,Australia & New Zealand,ANZ
26,Client 0026,Retail,Tier 2,17,Singapore,4,Asia Pacific,APAC
27,Client 0027,Energy,Tier 2,23,Saudi Arabia,6,Middle East & Africa,MEA
28,Client 0028,Manufacturing,Tier 1,5,Argentina,2,Latin America,LATAM
29,Client 0029,Logistics,Tier 1,22,Egypt,6,Middle East & Africa,MEA
30,Client 0030,Banking,Tier 1,16,Japan,4,Asia Pacific,APAC
31,Client 0031,Healthcare,Tier 1,6,Chile,2,Latin America,LATAM
32,Client 0032,Banking,Tier 2,8,United Kingdom,3,"Europe, Middle East & Africa",EMEA
33,Client 0033,Logistics,Tier 1,25,Qatar,6,Middle East & Africa,MEA
34,Client 0034,Public Sector,Tier 1,18,South Korea,4,Asia Pacific,APAC
35,Client 0035,Retail,Tier 1,25,Qatar,6,Middle East & Africa,MEA
36,Client 0036,Energy,Tier 2,12,Italy,3,"Europe, Middle East & Africa",EMEA
37,Client 0037,Public Sector,Tier 1,15,China,4,Asia Pacific,APAC
38,Client 0038,Telecom,Tier 2,27,Nigeria,6,Middle East & Africa,MEA
39,Client 0039,Manufacturing,Tier 2,26,South Africa,6,Middle East & Africa,MEA
40,Client 0040,Retail,Tier 2,9,Germany,3,"Europe, Middle East & Africa",EMEA
41,Client 0041,Banking,Tier 1,13,Spain,3,"Europe, Middle East & Africa",EMEA
42,Client 0042,Logistics,Tier 3,26,South Africa,6,Middle East & Africa,MEA
43,Client 0043,Logistics,Tier 2,15,China,4,Asia Pacific,APAC
44,Client 0044,Energy,Tier 1,10,France,3,"Europe, Middle East & Africa",EMEA
45,Client 0045,Healthcare,Tier 3,16,Japan,4,Asia Pacific,APAC
46,Client 0046,Healthcare,Tier 3,7,Colombia,2,Latin America,LATAM
47,Client 0047,Energy,Tier 1,17,Singapore,4,Asia Pacific,APAC
48,Client 0048,Logistics,Tier 2,23,Saudi Arabia,6,Middle East & Africa,MEA
49,Client 0049,Logistics,Tier 3,26,South Africa,6,Middle East & Africa,MEA
50,Client 0050,Public Sector,Tier 3,21,New Zealand,5,Australia & New Zealand,ANZ
51,Client 0051,Energy,Tier 1,22,Egypt,6,Middle East & Africa,MEA
52,Client 0052,Banking,Tier 1,26,South Africa,6,Middle East & Africa,MEA
53,Client 0053,Retail,Tier 2,7,Colombia,2,Latin America,LATAM
